ID_Code,dry_wt
DKF231124SELDOL_35C_sample_6,0.2
DKF231124SELDOL_40C_sample_1,0.18
DKF231124SELDOL_40C_sample_2,0.21
DKF231124SELDOL_40C_sample_3,0.24
DKF231124SELDOL_40C_sample_4,0.22
DKF231124SELDOL_40C_sample_5,0.21
DKF231124SELDOL_40C_sample_6,0.2
DKR231027ELYRHI_20C_sample_1,0.66
DKR231027ELYRHI_20C_sample_2,1.46
DKR231027ELYRHI_20C_sample_3,1.31
DKR231027ELYRHI_20C_sample_4,0.82
DKR231027ELYRHI_20C_sample_5,2.01
DKR231027ELYRHI_20C_sample_6,0.86
DKR231027ELYRHI_25C_sample_1,1.49
DKR231027ELYRHI_25C_sample_2,2.46
DKR231027ELYRHI_25C_sample_3,0.24
DKR231027ELYRHI_25C_sample_4,0.61
DKR231027ELYRHI_25C_sample_5,0.45
DKR231027ELYRHI_25C_sample_6,2.06
DKR231027ELYRHI_35C_sample_1,0.35
DKR231027ELYRHI_35C_sample_2,0.6
DKR231027ELYRHI_35C_sample_3,0.33
DKR231027ELYRHI_35C_sample_4,0.96
DKR231027ELYRHI_35C_sample_5,1.05
DKR231027ELYRHI_35C_sample_6,0.41
DKR231027ELYRHI_40C_sample_1,0.18
DKR231027ELYRHI_40C_sample_2,0.57
DKR231027ELYRHI_40C_sample_3,0.33
DKR231027ELYRHI_40C_sample_4,0.69
DKR231027ELYRHI_40C_sample_5,0.16
DKR231027ELYRHI_40C_sample_6,0.44
DKR231027OEDSQU_20C_sample_1,0.19
DKR231027OEDSQU_20C_sample_2,0.55
DKR231027OEDSQU_20C_sample_3,0.38
DKR231027OEDSQU_20C_sample_4,0.31
DKR231027OEDSQU_20C_sample_5,0.37
DKR231027OEDSQU_20C_sample_6,0.25
DKR231027OEDSQU_25C_sample_1,0.33
DKR231027OEDSQU_25C_sample_2,0.11
DKR231027OEDSQU_25C_sample_3,0.94
DKR231027OEDSQU_25C_sample_4,0.42
DKR231027OEDSQU_25C_sample_5,0.11
DKR231027OEDSQU_25C_sample_6,0.44
DKR231027OEDSQU_35C_sample_1,0.38
DKR231027OEDSQU_35C_sample_2,0.33
DKR231027OEDSQU_35C_sample_3,0.8
DKR231027OEDSQU_35C_sample_4,0.48
DKR231027OEDSQU_35C_sample_5,0.15
DKR231027OEDSQU_35C_sample_6,0.57
DKR231027OEDSQU_40C_sample_1,0.79
DKR231027OEDSQU_40C_sample_2,0.52
DKR231027OEDSQU_40C_sample_3,0.79
DKR231027OEDSQU_40C_sample_4,0.21
DKR231027OEDSQU_40C_sample_5,0.85
DKR231027OEDSQU_40C_sample_6,0.16
DKR231027PASOBT_20C_sample_1,0.07
DKR231027PASOBT_20C_sample_2,0.21
DKR231027PASOBT_20C_sample_3,0.21
DKR231027PASOBT_20C_sample_4,0.26
DKR231027PASOBT_20C_sample_5,0.12
DKR231027PASOBT_20C_sample_6,0.29
DKR231027PASOBT_25C_sample_1,0.25
DKR231027PASOBT_25C_sample_2,0.19
DKR231027PASOBT_25C_sample_3,0.23
DKR231027PASOBT_25C_sample_4,0.18
DKR231027PASOBT_25C_sample_5,0.12
DKR231027PASOBT_25C_sample_6,0.21
DKR231027PASOBT_35C_sample_1,0.16
DKR231027PASOBT_35C_sample_2,0.17
DKR231027PASOBT_35C_sample_3,0.23
DKR231027PASOBT_35C_sample_4,0.12
DKR231027PASOBT_35C_sample_5,0.15
DKR231027PASOBT_35C_sample_6,0.16
DKR231027PASOBT_40C_sample_1,0.17
DKR231027PASOBT_40C_sample_2,0.32
DKR231027PASOBT_40C_sample_3,0.25
DKR231027PASOBT_40C_sample_4,0.29
DKR231027PASOBT_40C_sample_5,0.16
DKR231027PASOBT_40C_sample_6,0.09
DKR231027PROLAU_20C_sample_1,0.62
DKR231027PROLAU_20C_sample_2,0.6
DKR231027PROLAU_20C_sample_3,0.52
DKR231027PROLAU_20C_sample_4,0.57
DKR231027PROLAU_20C_sample_5,0.63
DKR231027PROLAU_20C_sample_6,0.67
DKR231027PROLAU_25C_sample_1,0.7
DKR231027PROLAU_25C_sample_2,0.46
DKR231027PROLAU_25C_sample_3,0.58
DKR231027PROLAU_25C_sample_4,0.52
DKR231027PROLAU_25C_sample_5,0.61
DKR231027PROLAU_25C_sample_6,0.69
DKR231027PROLAU_35C_sample_1,0.51
DKR231027PROLAU_35C_sample_2,0.53
DKR231027PROLAU_35C_sample_3,0.55
DKR231027PROLAU_35C_sample_4,0.34
DKR231027PROLAU_35C_sample_5,0.54
DKR231027PROLAU_35C_sample_6,0.65
DKR231027PROLAU_40C_sample_1,0.56
DKR231027PROLAU_40C_sample_2,0.38
DKR231027PROLAU_40C_sample_3,0.52
DKR231027PROLAU_40C_sample_4,0.35
DKR231027PROLAU_40C_sample_5,0.5
DKR231027PROLAU_40C_sample_6,0.63
DKR231027RUSMUL_20C_sample_1,0.34
DKR231027RUSMUL_20C_sample_2,0.18
DKR231027RUSMUL_20C_sample_3,0.83
DKR231027RUSMUL_20C_sample_4,0.08
DKR231027RUSMUL_20C_sample_5,0.1
DKR231027RUSMUL_20C_sample_6,0.38
DKR231027RUSMUL_25C_sample_1,0.26
DKR231027RUSMUL_25C_sample_2,0.18
DKR231027RUSMUL_25C_sample_3,0.69
DKR231027RUSMUL_25C_sample_4,0.15
DKR231027RUSMUL_25C_sample_5,0.67
DKR231027RUSMUL_25C_sample_6,0.17
DKR231027RUSMUL_35C_sample_1,0.38
DKR231027RUSMUL_35C_sample_2,0.19
DKR231027RUSMUL_35C_sample_3,0.12
DKR231027RUSMUL_35C_sample_4,0.36
DKR231027RUSMUL_35C_sample_5,0.19
DKR231027RUSMUL_35C_sample_6,0.61
DKR231027RUSMUL_40C_sample_1,0.37
DKR231027RUSMUL_40C_sample_2,0.21
DKR231027RUSMUL_40C_sample_3,0.14
DKR231027RUSMUL_40C_sample_4,0.7
DKR231027RUSMUL_40C_sample_5,0.29
DKR231027RUSMUL_40C_sample_6,0.24
DKR231124CLURUB_20C_sample_1,0.03
DKR231124CLURUB_20C_sample_2,0.06
DKR231124CLURUB_20C_sample_3,0.03
DKR231124CLURUB_20C_sample_4,0.02
DKR231124CLURUB_20C_sample_5,0.06
DKR231124CLURUB_20C_sample_6,0.05
DKR231124CLURUB_25C_sample_1,0.03
DKR231124CLURUB_25C_sample_2,0.05
DKR231124CLURUB_25C_sample_3,0.03
DKR231124CLURUB_25C_sample_4,0.05
DKR231124CLURUB_25C_sample_5,0.04
DKR231124CLURUB_25C_sample_6,0.05
DKR231124CLURUB_35C_sample_1,
DKR231124CLURUB_35C_sample_2,0.07
DKR231124CLURUB_35C_sample_3,0.03
DKR231124CLURUB_35C_sample_4,0.03
DKR231124CLURUB_35C_sample_5,0.04
DKR231124CLURUB_35C_sample_6,0.03
DKR231124CLURUB_40C_sample_1,0.02
DKR231124CLURUB_40C_sample_2,0.07
DKR231124CLURUB_40C_sample_3,0.02
DKR231124CLURUB_40C_sample_4,0.05
DKR231124CLURUB_40C_sample_5,0.03
DKR231124CLURUB_40C_sample_6,0.02
DKR231124MICPOL_20C_sample_1,0.2
DKR231124MICPOL_20C_sample_2,0.08
DKR231124MICPOL_20C_sample_3,0.08
DKR231124MICPOL_20C_sample_4,0.1
DKR231124MICPOL_20C_sample_5,0.11
DKR231124MICPOL_20C_sample_6,0.07
DKR231124MICPOL_25C_sample_1,0.06
DKR231124MICPOL_25C_sample_2,0.05
DKR231124MICPOL_25C_sample_3,0.11
DKR231124MICPOL_25C_sample_4,0.19
DKR231124MICPOL_25C_sample_5,0.06
DKR231124MICPOL_25C_sample_6,0.08
DKR231124MICPOL_35C_sample_1,0.07
DKR231124MICPOL_35C_sample_2,0.14
DKR231124MICPOL_35C_sample_3,0.06
DKR231124MICPOL_35C_sample_4,0.07
DKR231124MICPOL_35C_sample_5,0.07
DKR231124MICPOL_35C_sample_6,0.07
DKR231124MICPOL_40C_sample_1,0.15
DKR231124MICPOL_40C_sample_2,0.19
DKR231124MICPOL_40C_sample_3,0.12
DKR231124MICPOL_40C_sample_4,0.13
DKR231124MICPOL_40C_sample_5,0.08
